EC,rxn_ID,reaction
6.1.1.21,rxn30394,(1) cpd00002[0] + (1) cpd00119[0] + (1) cpd11914[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd12228[0]
1.1.1.155|1.1.1.87,rxn30393,(1) cpd00003[0] + (1) cpd03372[0] <=> (1) cpd00004[0] + (1) cpd03287[0]
4.2.1.1,rxn30392,(1) cpd00001[0] + (1) cpd00011[0] <=> (1) cpd00242[0]
2.3.3.14|4.1.3.21,rxn30391,(1) cpd00001[0] + (1) cpd00022[0] + (1) cpd00024[0] <=> (1) cpd00010[0] + (1) cpd00919[0]
1.1.1.211|1.1.1.35,rxn30390,(1) cpd00004[0] + (1) cpd12689[0] <=> (1) cpd00003[0] + (1) cpd03115[0]
1.1.1.211|1.1.1.35,rxn29552,(1) cpd08991[1] <=> (1) cpd08991[0]
1.1.1.42,rxn30399,(1) cpd00006[0] + (1) cpd00260[0] <=> (1) cpd00005[0] + (1) cpd00011[0] + (1) cpd00024[0]
1.5.1.2,rxn30398,(1) cpd00006[0] + (1) cpd00851[0] <=> (1) cpd00005[0] + (1) cpd02625[0]
1.5.1.2,rxn30919,(1) cpd00003[0] + (1) cpd00226[0] <=> (1) cpd00004[0] + (1) cpd00309[0]
1.5.1.2,rxn30918,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd19421[0] <=> (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd03148[0]
2.8.1.7,rxn28649,(1) cpd00084[0] + (1) cpd27355[0] <=> (1) cpd00035[0] + (1) cpd27847[0]
2.8.1.7,rxn29551,(1) cpd01157[1] <=> (1) cpd01157[0]
2.5.1.54|4.1.2.15,rxn30649,(1) cpd00001[0] + (1) cpd00061[0] + (1) cpd00236[0] <=> (1) cpd00009[0] + (1) cpd02857[0]
5.4.2.7,rxn30648,(1) cpd26845[0] <=> (1) cpd26846[0]
5.4.2.7,rxn30645,(1) cpd00007[0] + (4) cpd26785[1] <=> (2) cpd00001[0] + (4) cpd26784[1]
5.4.2.7,rxn30644,(1) cpd11665[1] + (2) cpd26784[1] <=> (1) cpd11669[1] + (2) cpd26785[1]
5.4.2.7,rxn30647,(1) cpd00221[0] + (2) cpd29192[0] <=> (1) cpd00020[0] + (2) cpd26785[0]
5.4.2.7,rxn30646,(1) cpd00008[0] + (1) cpd00009[0] <=> (1) cpd00001[0] + (1) cpd00002[0]
5.4.2.7,rxn30641,(1) cpd00001[0] + (1) cpd00022[1] + (1) cpd00032[1] <=> (1) cpd00010[1] + (1) cpd00137[1]
5.4.2.7,rxn30640,(1) cpd00137[1] <=> (1) cpd00137[0]
1.3.5.1,rxn30643,(1) cpd00036[0] + (1) cpd11669[0] <=> (1) cpd00106[0] + (1) cpd11665[0]
1.3.5.1,rxn30642,(1) cpd00004[0] + (1) cpd11669[0] <=> (1) cpd00003[0] + (1) cpd11665[0]
1.3.5.1,rxn29550,(1) cpd03721[1] <=> (1) cpd03721[0]
4.2.3.-,rxn25027,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25429[0]
4.2.3.-,rxn25026,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25428[0]
4.2.3.-,rxn25025,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25427[0]
4.2.3.-,rxn25024,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25426[0]
4.2.3.-,rxn25023,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25425[0]
4.2.3.-,rxn25022,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25424[0]
4.2.3.-,rxn25021,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25423[0]
4.2.3.-,rxn25020,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25422[0]
4.2.3.-,rxn30916,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd16354[0] <=> (1) cpd00006[0] + (1) cpd16355[0]
4.2.3.-,rxn25029,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25431[0]
4.2.3.-,rxn25028,(1) cpd00350[0] <=> (1) cpd00012[0] + (1) cpd25432[0]
2.1.1.-,rxn20217,(1) cpd02438[0] + (1) cpd15884[0] <=> (1) cpd02246[0] + (1) cpd20061[0]
2.1.1.-,rxn20216,(1) cpd02438[0] + (1) cpd15884[0] <=> (1) cpd02246[0] + (1) cpd20061[0]
1.5.99.-,rxn20214,(1) cpd20060[0] + (1) cpd27742[0] <=> (1) cpd15891[0] + (1) cpd28067[0]
2.7.7.50,rxn20213,(1) cpd00038[0] + (1) cpd25368[0] <=> (1) cpd00012[0] + (1) cpd25369[0]
2.1.1.56,rxn20212,(1) cpd00017[0] + (1) cpd27096[0] <=> (1) cpd00019[0] + (1) cpd28511[0]
1.1.99.-,rxn20211,(1) cpd04133[0] + (1) cpd22290[0] <=> (1) cpd04134[0] + (1) cpd26978[0]
1.1.1.218,rxn20210,(1) cpd01072[0] + (1) cpd27638[0] <=> (1) cpd01196[0] + (1) cpd27640[0]
5.5.1.4,rxn20219,(1) cpd26836[0] <=> (1) cpd02484[0]
2.3.1.111,rxn20218,(2) cpd00005[0] + (1) cpd00891[0] + (1) cpd22234[0] <=> (2) cpd00006[0] + (1) cpd00010[0] + (1) cpd00011[0] + (1) cpd24481[0]
2.3.1.111,rxn29556,(1) cpd20972[1] <=> (1) cpd20972[0]
2.A.3.1|TC-2.A.3.1,rxn09709,(1) cpd00065[0] <=> (1) cpd00065[1]
2.A.3.1|TC-2.A.3.1,rxn29555,(1) cpd22633[1] <=> (1) cpd22633[0]
2.A.3.1|TC-2.A.3.1,rxn29554,(1) cpd22631[1] <=> (1) cpd22631[0]
1.1.1.157,rxn32364,(1) cpd00006[0] + (1) cpd00842[0] <=> (1) cpd00005[0] + (1) cpd00279[0]
1.1.1.71,rxn35879,(1) cpd00003[0] + (1) cpd19017[0] <=> (1) cpd00004[0] + (1) cpd23440[0]
1.1.1.71,rxn35878,(1) cpd00006[0] + (1) cpd19017[0] <=> (1) cpd00005[0] + (1) cpd23440[0]
1.8.3.5-,rxn31518,(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd04131[0] <=> (1) cpd00025[0] + (1) cpd00084[0] + (1) cpd04535[0]
1.8.3.5-,rxn31519,(3) cpd00007[0] + (2) cpd11255[0] <=> (4) cpd00047[0] + (3) cpd00204[0] + (2) cpd05191[0]
1.8.3.5-,rxn31516,(1) cpd09805[0] <=> (1) cpd09806[0]
1.8.3.5-,rxn11091,(1) cpd00003[0] + (1) cpd16167[0] <=> (1) cpd00004[0] + (1) cpd00247[0]
1.8.3.5-,rxn31514,(21) cpd00005[0] + (31) cpd00070[0] + (27) cpd00192[0] <=> (21) cpd00001[0] + (21) cpd00006[0] + (58) cpd00010[0] + (21) cpd00011[0] + (21) cpd05556[0]
1.8.3.5-,rxn31515,(1) cpd00017[0] + (1) cpd02083[0] <=> (2) cpd00011[0] + (1) cpd00060[0] + (1) cpd00791[0] + (1) cpd03091[0]
1.8.3.5-,rxn31512,(1) cpd00005[0] + (1) cpd03502[0] <=> (1) cpd00006[0] + (1) cpd06619[0]
1.8.3.5-,rxn31513,(1) cpd00005[0] + (1) cpd03505[0] <=> (1) cpd00006[0] + (1) cpd08918[0]
1.8.3.5-,rxn31510,(1) cpd00007[0] + (1) cpd19099[0] <=> (1) cpd00001[0] + (1) cpd08738[0]
1.8.3.5-,rxn11090,(1) cpd00003[0] + (1) cpd00009[0] + (1) cpd00102[0] <=> (1) cpd00004[0] + (1) cpd16119[0]
2.6.1.16,rxn32367,(1) cpd00053[0] + (1) cpd00072[0] <=> (1) cpd00023[0] + (1) cpd00288[0]
2.6.1.16,rxn32360,(1) cpd00245[0] <=> (1) cpd00245[1]
2.3.1.-,rxn32361,(1) cpd00010[0] + (1) cpd09822[0] <=> (1) cpd00078[0] + (1) cpd09823[0]
