id,smiles
cpd00253,NC(=O)CCC([NH3+])C(=O)[O-]
cpd00254,[Mg+2]
cpd00255,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)[O-]
cpd00256,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
cpd00257,NC(=[NH2+])NOCC[C@H]([NH3+])C(=O)[O-]
cpd00258,O=C(CO)[C@H](O)[C@H](O)CO
cpd00259,O=C(CO)[C@@H](O)[C@H](O)CO
cpd00260,O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]
cpd00261,O=C(CO)[C@H](O)[C@@H](O)CO
cpd00262,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)[O-]
cpd00263,Cc1ncc(CO)c(CO)c1O
cpd00264,[NH3+]CCCC[NH2+]CCC[NH3+]
cpd00265,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](OC[C@H]3O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00266,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
cpd00267,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H]([NH3+])CO
cpd00268,O=S(=O)([O-])S
cpd00269,O=C([O-])CCCC(=O)C(=O)[O-]
cpd00270,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1
cpd00271,N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N
cpd00272,C[C@@H]1O[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
cpd00274,NC(=O)NCCC[C@H]([NH3+])C(=O)[O-]
cpd00275,Nc1ccccc1C(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00276,[NH3+][C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00277,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
cpd00278,O=C([O-])C(=O)Cc1c[nH]c2ccccc12
cpd00279,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00280,O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
cpd00281,[NH3+]CCCC(=O)[O-]
cpd00282,O=C1C[C@@H](C(=O)[O-])NC(=O)N1
